Unnamed: 0,Country Name,Country Code,Year,Population_Total,Population_Density,Population_65_Plus_Pct,Air_Transport_Passengers,Urban_Population_Pct,Healthcare_Access_Index,HDI,No_Improved_Water_Pct
1138,Austria,AUT,2017,8797566.0,106.61131846825,18.6103296736393,16171640.0,58.094,84.0,0.922,0.0
1140,Austria,AUT,2019,8879920.0,107.609306834707,18.9402993578561,46476602.0,58.515,84.0,0.928,0.0
1142,Austria,AUT,2021,8955797.0,108.528805138148,19.462852720957,18901048.0,58.995,85.0,0.93,0.0
1187,Azerbaijan,AZE,2000,8048600.0,97.434779976999,5.53451830632131,545800.0,51.386,42.0,0.652,18.866333
1192,Azerbaijan,AZE,2005,8391850.0,101.522501814662,6.5616695016824,1134300.0,52.389,38.0,0.692,14.604164
1197,Azerbaijan,AZE,2010,9054332.0,109.542344173442,5.88788457841308,796698.0,53.406,51.0,0.744,10.467102
1202,Azerbaijan,AZE,2015,9649341.0,116.731076781631,5.79496249814157,1803112.0,54.714,62.0,0.771,6.4234543
1204,Azerbaijan,AZE,2017,9854033.0,119.208741622511,6.14013559399226,2331308.0,55.343,64.0,0.774,4.842201
1206,Azerbaijan,AZE,2019,10024283.0,121.280071139933,6.62764113456588,2585280.0,56.031,67.0,0.78,3.2886734
1208,Azerbaijan,AZE,2021,10137750.0,122.658802177858,7.14668283701474,1102455.0,56.776,66.0,0.765,1.9347382
1252,Bahamas,BHS,2000,323835.0,32.3511488511488,6.69368659965723,1860623.0,82.007,54.0,0.787,1.7545013
1257,Bahamas,BHS,2005,343894.0,34.355044955045,7.88484242237434,1020000.0,82.218,71.0,0.798,1.5406799
1262,Bahamas,BHS,2010,367478.0,36.7110889110889,9.15675109360437,967914.0,82.427,73.0,0.801,1.3268585
1267,Bahamas,BHS,2015,385346.0,38.4961038961039,10.2099019972933,900028.0,82.746,77.0,0.807,1.1130371
1269,Bahamas,BHS,2017,390485.0,39.0094905094905,10.5142323008566,921470.0,82.925,79.0,0.81,1.1130371
1271,Bahamas,BHS,2019,394675.0,39.4280719280719,10.8243628610412,1856546.0,83.132,79.0,0.8,1.1130371
1273,Bahamas,BHS,2021,396373.0,39.5977022977023,11.0919512681237,1065149.134,83.365,77.0,0.794,
1317,Bahrain,BHR,2000,637582.0,898.002816901408,2.24991617886124,1382461.0,88.372,60.0,0.775,0.04133606
1322,Bahrain,BHR,2005,888822.0,1201.11081081081,2.14426487555275,,88.422,64.0,0.791,0.05102539
1327,Bahrain,BHR,2010,1228543.0,1612.26115485564,2.15047426568769,6028980.0,88.634,68.0,0.81,0.06071472
1332,Bahrain,BHR,2015,1370322.0,1761.33933161954,2.58876355273245,5313756.0,88.999,73.0,0.868,0.07041168
1334,Bahrain,BHR,2017,1501116.0,1924.50769230769,2.61201960870313,5190484.0,89.186,74.0,0.874,0.074287415
1336,Bahrain,BHR,2019,1483756.0,1902.25128205128,3.00446835284136,6440562.0,89.394,76.0,0.894,0.07816315
1338,Bahrain,BHR,2021,1504365.0,1904.25949367089,3.46416063514661,1840268.0,89.622,76.0,0.885,0.08010101
1382,Bangladesh,BGD,2000,134544304.0,1033.6045478989,3.46140181652951,1331369.0,23.59,23.0,0.477,4.050804
1387,Bangladesh,BGD,2005,144715786.0,1111.74453407083,3.72492189621939,1634473.0,26.809,27.0,0.52,3.1953125
1392,Bangladesh,BGD,2010,152201981.0,1169.25544288238,4.20925466072201,1818901.01882718,30.462,37.0,0.561,2.3771973
1397,Bangladesh,BGD,2015,159383179.0,1224.42328493508,4.90260142194805,3997815.0,34.308,45.0,0.621,1.6086426
1399,Bangladesh,BGD,2017,162186147.0,1245.95641852962,5.25888905067487,4660739.03831114,35.858,48.0,0.633,1.3164062
1401,Bangladesh,BGD,2019,164913055.0,1266.90523930245,5.66255837053046,6260241.0,37.405,50.0,0.656,1.0329971
1403,Bangladesh,BGD,2021,167658854.0,1287.99918568026,5.97381333056883,3750753.0,38.946,52.0,0.663,0.7876663
1447,Barbados,BRB,2000,262063.0,609.448837209302,11.2650393226056,,33.827,54.0,0.762,1.408493
1452,Barbados,BRB,2005,268706.0,624.897674418605,11.3248308560285,,32.841,72.0,0.779,1.3583527
1457,Barbados,BRB,2010,275243.0,640.1,11.8178994236013,,31.87,75.0,0.797,1.3082047
1462,Barbados,BRB,2015,278990.0,648.813953488372,12.9216100935517,,31.249,80.0,0.8,1.2580643
1464,Barbados,BRB,2017,280171.0,651.560465116279,13.5158528184573,,31.159,80.0,0.804,1.2380066
1466,Barbados,BRB,2019,281207.0,653.96976744186,14.2956713458923,,31.158,79.0,0.808,1.2179489
1468,Barbados,BRB,2021,282147.0,656.155813953488,15.2621067424193,,31.246,77.0,0.803,1.2179489
1512,Belarus,BLR,2000,9979610.0,49.1974779144976,13.5188087891952,210899.0,69.973,53.0,0.724,0.28987122
1517,Belarus,BLR,2005,9663915.0,47.6446879945571,14.7034003515884,281877.0,72.354,59.0,0.767,0.32229614
1522,Belarus,BLR,2010,9483836.0,46.7409685463919,13.9454868247262,652142.0,74.672,70.0,0.803,0.40405273
1527,Belarus,BLR,2015,9461076.0,46.611337189252,14.3137668458221,1489035.0,77.181,76.0,0.825,0.4664154
1529,Belarus,BLR,2017,9458989.0,46.5987595325832,14.797647947019,2493100.0,78.134,78.0,0.828,0.4868927
1531,Belarus,BLR,2019,9419758.0,46.4107506220284,15.3719450417652,3208254.0,79.044,81.0,0.826,0.50522614
1533,Belarus,BLR,2021,9302585.0,45.8368317319537,16.0697691637937,1040730.0,79.91,79.0,0.817,0.5216141
1577,Belgium,BEL,2000,10251250.0,337.957010516599,16.8052483305967,10738119.0,97.129,77.0,0.894,0.0
1582,Belgium,BEL,2005,10478617.0,345.452708271519,17.2201996099681,3340509.0,97.403,81.0,0.911,0.0
1587,Belgium,BEL,2010,10895586.0,359.199090099891,17.1172634557158,7528586.30424955,97.651,83.0,0.921,0.0
1592,Belgium,BEL,2015,11274196.0,371.680875614018,18.1637094668899,11473055.0,97.876,86.0,0.933,0.0
1594,Belgium,BEL,2017,11375158.0,375.009329772855,18.584903433857,13676844.0,97.961,87.0,0.94,0.0
1596,Belgium,BEL,2019,11488980.0,376.761985964452,19.029838081816,14279187.0,98.041,87.0,0.945,0.0
1598,Belgium,BEL,2021,11586195.0,379.949990161999,19.4520520478909,5404284.479,98.117,86.0,0.948,0.0
1642,Belize,BLZ,2000,240799.0,10.5567295046032,3.96347160910137,,45.398,47.0,0.671,11.482216
1647,Belize,BLZ,2005,279731.0,12.2635247698378,3.96917747617796,,45.313,58.0,0.7,8.184959
1652,Belize,BLZ,2010,320245.0,14.0396755808856,3.98694749332542,143928.0,45.228,64.0,0.727,4.885849
1657,Belize,BLZ,2015,356333.0,15.6217886891714,4.07610297109726,935604.0,45.406,69.0,0.721,1.5964661
1659,Belize,BLZ,2017,373202.0,16.3613327487944,4.19438292718545,1285642.0,45.601,68.0,0.722,0.7647095
1661,Belize,BLZ,2019,385829.0,16.9149057430951,4.37513040120157,1278187.556,45.866,69.0,0.725,0.34996033
1663,Belize,BLZ,2021,395346.0,17.3321350284963,4.59849777347213,670361.821,46.201,68.0,0.713,0.3478012
1707,Benin,BEN,2000,7221619.0,64.0441557289819,3.16257337862881,77273.0,38.333,21.0,0.415,30.894875
1712,Benin,BEN,2005,8426144.0,74.7263568641362,3.06525755228356,,40.543,22.0,0.456,29.30513
1717,Benin,BEN,2010,9797484.0,86.8879389854558,3.0637865803098,53012.8181818182,43.093,33.0,0.485,27.780731
1722,Benin,BEN,2015,11360681.0,100.750984391628,3.03762600146945,112392.0,45.695,35.0,0.511,26.38028
1724,Benin,BEN,2017,12039780.0,106.773501241575,3.02784602376455,,46.768,34.0,0.507,25.853867
1726,Benin,BEN,2019,12726755.0,112.865865555161,3.03327124628391,,47.861,35.0,0.507,25.34745
1728,Benin,BEN,2021,13413417.0,118.955454061724,3.04703492033387,,48.972,38.0,0.506,24.861801
1772,Bermuda,BMU,2000,61550.0,1139.81481481481,10.8382547664113,,100.0,,,0.005859375
1777,Bermuda,BMU,2005,62711.0,1161.31481481481,12.2370875922884,,100.0,,,0.043777466
1782,Bermuda,BMU,2010,63725.0,1180.09259259259,13.4624286980879,,100.0,,,0.08169556
1787,Bermuda,BMU,2015,63464.0,1175.25925925926,16.1068960898784,,100.0,,,0.09686279
1789,Bermuda,BMU,2017,63578.0,1177.37037037037,17.16618039117,,100.0,,,0.09686279
1791,Bermuda,BMU,2019,64107.0,1187.16666666667,18.2327982903583,,100.0,,,0.09686279
1793,Bermuda,BMU,2021,64648.0,1197.18518518519,19.4445303799035,,100.0,,,0.09686279
1837,Bhutan,BTN,2000,596863.0,14.9965577889447,3.76166725027351,34425.0,25.418,35.0,,15.638603
1842,Bhutan,BTN,2005,661865.0,17.3640370438387,4.69219199369056,49092.0,30.965,37.0,,10.165466
1847,Bhutan,BTN,2010,701632.0,18.407324815699,5.11486078172033,181537.371716438,34.793,44.0,0.593,5.487068
1852,Bhutan,BTN,2015,740618.0,19.4301230422121,5.63326843257928,162864.0,38.678,53.0,0.637,1.2742767
1854,Bhutan,BTN,2017,754335.0,19.7759804949664,5.83666795035889,254643.0,40.167,56.0,0.656,0.26774597
1856,Bhutan,BTN,2019,764824.0,20.0530676455165,5.92796512661737,276092.0,41.612,60.0,0.68,0.24245453
1858,Bhutan,BTN,2021,775442.0,20.3314630309386,6.12663882446322,22380.0,43.008,60.0,0.691,0.21450043
1902,Bolivia,BOL,2000,8606326.0,7.94454537062679,5.25496624546678,1756608.0,61.787,37.0,0.63,18.881454
1907,Bolivia,BOL,2005,9360754.0,8.64096187575002,5.37399580065857,1892343.0,64.17,39.0,0.658,15.482964
1912,Bolivia,BOL,2010,10182345.0,9.39937690390474,5.45220182580732,1781340.0,66.43,47.0,0.677,12.328079
1917,Bolivia,BOL,2015,11014705.0,10.1677328533186,5.57956840423779,4115271.0,68.393,60.0,0.704,9.443344
1919,Bolivia,BOL,2017,11344587.0,10.4722486845749,5.62693883757342,4053427.35,69.08,64.0,0.715,8.359802
1921,Bolivia,BOL,2019,11671386.0,10.7739185821102,5.69637597867023,4066959.0,69.773,65.0,0.728,7.298996
1923,Bolivia,BOL,2021,11937360.0,11.0194405981723,5.5207644538141,4311879.56,70.475,65.0,0.693,6.2606583
1991,Bosnia and Herzegovina,BIH,2000,4159771.0,81.24552734375,10.9806993004303,69142.0,42.384,44.0,0.674,1.6010056
1996,Bosnia and Herzegovina,BIH,2005,4096493.0,80.00962890625,13.487097378172,,43.965,61.0,0.698,0.9579315
2001,Bosnia and Herzegovina,BIH,2010,3811472.0,74.4428125,15.1145036765984,56485.161815801,45.558,62.0,0.725,0.34148407
2006,Bosnia and Herzegovina,BIH,2015,3518541.0,68.72150390625,17.2535174740777,7071.0,47.173,68.0,0.769,0.06008911
2008,Bosnia and Herzegovina,BIH,2017,3428682.0,66.9664453125,18.338880896671,,47.876,70.0,0.78,0.06098175
2010,Bosnia and Herzegovina,BIH,2019,3345533.0,65.34244140625,19.6456887437667,5375.0,48.626,67.0,0.788,0.061935425
2012,Bosnia and Herzegovina,BIH,2021,3244907.0,63.37708984375,20.6776926615011,,49.425,66.0,0.783,0.06295776
2056,Botswana,BWA,2000,1677382.0,2.95975508619625,3.34229074167639,163909.0,53.219,35.0,0.594,4.3560257
2061,Botswana,BWA,2005,1839877.0,3.24647892294391,3.41925030858041,229987.0,55.944,48.0,0.616,3.944725
2066,Botswana,BWA,2010,2033111.0,3.58744199177739,3.39858556630345,290195.0,62.412,54.0,0.652,3.3806992
2071,Botswana,BWA,2015,2203273.0,3.88769431651757,3.56111112876162,226549.0,67.155,58.0,0.69,3.068039
2073,Botswana,BWA,2017,2266747.0,3.99969473999965,3.71468452368085,223673.0,68.7,58.0,0.704,2.99263
2075,Botswana,BWA,2019,2332083.0,4.11498067863004,3.84555352446718,254439.0,70.172,55.0,0.718,2.9361725
2077,Botswana,BWA,2021,2401441.0,4.23736347114146,3.86903194145347,172017.0,71.56,55.0,0.7,2.8978577
2121,Brazil,BRA,2000,174018282.0,20.8202162203552,5.15305600233732,31287784.0,81.192,68.0,0.69,5.92292
2126,Brazil,BRA,2005,184688101.0,22.0967943824822,5.77510511688269,37661733.0,82.834,73.0,0.718,4.316658
2131,Brazil,BRA,2010,193701929.0,23.175243415401,6.66688609315066,74627064.0,84.335,76.0,0.748,2.8902512
2136,Brazil,BRA,2015,201675532.0,24.1292359304821,7.95680732355772,102039359.0,85.77,82.0,0.764,1.6169357
2138,Brazil,BRA,2017,204703445.0,24.4915070817191,8.5916529152697,96395709.0,86.309,82.0,0.77,1.1492691
2140,Brazil,BRA,2019,207455459.0,24.8207686159839,9.27307434876159,102917546.0,86.824,81.0,0.776,0.7037964
2142,Brazil,BRA,2021,209550294.0,25.0714027283582,9.91109990998152,61896523.0,87.317,80.0,0.768,0.41059875
2187,British Virgin Islands,VGB,2000,20241.0,134.94,4.58217029370353,,41.774,,,4.697258
2192,British Virgin Islands,VGB,2005,23665.0,157.766666666667,4.90386646946968,,43.21,,,2.7965775
2197,British Virgin Islands,VGB,2010,27675.0,184.5,5.89149247529403,,44.814,,,0.8958893
2202,British Virgin Islands,VGB,2015,34498.0,229.986666666667,6.87006304804696,,46.583,,,0.13562012
2204,British Virgin Islands,VGB,2017,32699.0,217.993333333333,7.61644086975137,,47.337,,,0.13562012
2206,British Virgin Islands,VGB,2019,36395.0,242.633333333333,8.05066699638682,,48.116,,,0.13562012
2208,British Virgin Islands,VGB,2021,37809.0,252.06,8.57588701252331,,48.92,,,0.13562012
2252,Brunei,BRN,2000,,,,,71.164,49.0,0.792,0.099983215
2257,Brunei,BRN,2005,,,,,73.163,64.0,0.814,0.099983215
2262,Brunei,BRN,2010,,,,,74.961,70.0,0.83,0.099975586
2267,Brunei,BRN,2015,,,,,76.663,75.0,0.839,0.09996033
2269,Brunei,BRN,2017,,,,,77.312,78.0,0.837,0.09996033
2271,Brunei,BRN,2019,,,,,77.942,77.0,0.835,0.0999527
2273,Brunei,BRN,2021,,,,,78.554,78.0,0.835,0.0999527
2382,Bulgaria,BGR,2000,8170172.0,73.8513242339329,16.5832606245132,535246.0,68.899,56.0,0.733,0.1869812
2387,Bulgaria,BGR,2005,7658972.0,70.4986377025037,17.3371204434747,653703.0,70.584,61.0,0.775,0.38747406
2392,Bulgaria,BGR,2010,7395599.0,68.1245302137067,18.1472285711578,801840.0,72.302,65.0,0.799,0.57016754
2397,Bulgaria,BGR,2015,6984225.0,64.3351602800295,20.209781460636,1063498.0,73.99,70.0,0.824,0.7355423
2399,Bulgaria,BGR,2017,6803468.0,62.6701179071481,20.8699557799437,1133069.0,74.669,72.0,0.829,0.79673004
2401,Bulgaria,BGR,2019,6616726.0,60.9499447310243,21.4794589439076,832828.0,75.347,76.0,0.835,0.8551254
2403,Bulgaria,BGR,2021,6507301.0,59.9419767870302,21.7032217425472,41126.0,76.025,73.0,0.817,0.91069794
2447,Burkina Faso,BFA,2000,11925546.0,43.5875219298246,2.94366827915754,143529.0,17.844,15.0,,32.029083
2452,Burkina Faso,BFA,2005,13932123.0,50.9215021929825,2.76554037150187,66273.0,21.537,21.0,0.333,29.570168
2457,Burkina Faso,BFA,2010,16176498.0,59.1246271929825,2.70027542426055,160000.0,24.633,30.0,0.377,26.969315
2462,Burkina Faso,BFA,2015,18777487.0,68.6311659356725,2.5964842899372,122590.0,27.53,35.0,0.419,24.478058
2464,Burkina Faso,BFA,2017,19894407.0,72.713475877193,2.5594856886159,145049.0,28.743,38.0,0.438,23.4841
2466,Burkina Faso,BFA,2019,20961952.0,76.6153216374269,2.55918669789944,185841.0,29.98,38.0,0.453,22.493805
2468,Burkina Faso,BFA,2021,21995243.0,80.3919700292398,2.57917814320124,112940.0,31.24,40.0,0.454,21.507706
2512,Burundi,BDI,2000,6470194.0,251.954595015576,2.39968866464349,,8.246,19.0,0.308,29.915009
2517,Burundi,BDI,2005,7587299.0,295.455568535826,2.34294180313706,,9.375,24.0,0.352,26.930786
2522,Burundi,BDI,2010,9376444.0,365.126323987539,2.27387364154931,,10.642,33.0,0.416,23.920929
2527,Burundi,BDI,2015,11047580.0,430.201713395639,2.22313846109284,,12.078,40.0,0.432,20.879639
2529,Burundi,BDI,2017,11506762.0,448.082632398754,2.31607727699591,,12.706,40.0,0.434,19.653168
2531,Burundi,BDI,2019,12255336.0,477.232710280374,2.40126821487113,,13.366,42.0,0.435,18.420784
2533,Burundi,BDI,2021,12965481.0,504.886331775701,2.4618792599411,,14.058,41.0,0.435,18.284004
2642,Cambodia,KHM,2000,12462336.0,70.6001359619307,2.81651839524635,,18.586,24.0,0.438,48.10012
2647,Cambodia,KHM,2005,13439202.0,76.1341604350782,3.34315236871951,168810.0,19.174,37.0,0.514,39.57777
2652,Cambodia,KHM,2010,14500726.0,82.1477792884659,3.8795195495729,277725.054297226,20.294,50.0,0.543,30.976532
2657,Cambodia,KHM,2015,15623251.0,88.5069737140267,4.56873555218231,1103880.0,22.188,56.0,0.562,22.319725
2659,Cambodia,KHM,2017,16073372.0,91.0569453886245,4.90883602678903,1305297.0,22.98,60.0,0.578,18.898811
2661,Cambodia,KHM,2019,16481304.0,93.3679129843644,5.27307790694231,1429503.73046387,23.805,58.0,0.593,15.501175
2663,Cambodia,KHM,2021,16974305.0,96.160803308407,5.59471490600897,50217.459,24.668,58.0,0.594,12.210304
2707,Cameroon,CMR,2000,14912631.0,31.5471028749127,3.32752148162185,273000.0,45.542,22.0,0.439,37.130543
2712,Cameroon,CMR,2005,17074594.0,36.1206532546381,3.17184115768726,384059.0,48.541,28.0,0.472,31.860611
2717,Cameroon,CMR,2010,19668066.0,41.607044488164,3.00754786972954,0.0,51.559,33.0,0.529,26.881645
2722,Cameroon,CMR,2015,22763414.0,48.1551352837892,2.84572861421998,267208.0,54.578,42.0,0.575,22.20259
2724,Cameroon,CMR,2017,24128601.0,51.0431363838294,2.80367063138058,236000.0,55.777,43.0,0.581,20.417793
2726,Cameroon,CMR,2019,25506095.0,53.9571724736096,2.78429920377855,83882.0,56.968,43.0,0.582,18.683113
2728,Cameroon,CMR,2021,26915758.0,56.9392608576083,2.76610261605669,177992.0,58.148,44.0,0.574,16.998886
2772,Canada,CAN,2000,30685730.0,3.42261133957721,12.5363093892577,41767974.0,79.478,74.0,0.894,0.77301025
2777,Canada,CAN,2005,32242732.0,3.59627553791775,13.0466474392723,45229860.0,80.122,79.0,0.909,0.765358
2782,Canada,CAN,2010,34005902.0,3.79293521117963,14.1094023482861,63277409.3753385,80.937,83.0,0.918,0.763649
2787,Canada,CAN,2015,35704498.0,3.98239245827659,16.0101997556659,80228302.0,81.259,90.0,0.932,0.7707825
2789,Canada,CAN,2017,36545075.0,4.07614836279598,16.7582136912329,91404001.0,81.35,90.0,0.935,0.77446747
2791,Canada,CAN,2019,37618495.0,4.19587500655283,17.5318595224519,93352000.0,81.482,91.0,0.937,0.7783432
2793,Canada,CAN,2021,38239864.0,4.351026204103,18.4822592321013,24951000.0,81.653,91.0,0.937,0.77801514
2577,Cape Verde,CPV,2000,453317.0,112.485607940447,4.84880905766929,263547.0,,,,
2582,Cape Verde,CPV,2005,485115.0,120.375930521092,5.08621142800014,690000.0,,,,
2587,Cape Verde,CPV,2010,509784.0,126.497270471464,4.90795620502389,570553.0,,,,
2592,Cape Verde,CPV,2015,512394.0,127.144913151365,5.15658375838101,548908.0,,,,
2594,Cape Verde,CPV,2017,512893.0,127.268734491315,5.46527248373442,336718.0,,,,
2596,Cape Verde,CPV,2019,514104.0,127.569230769231,5.81429049375224,675482.0,,,,
2598,Cape Verde,CPV,2021,516649.0,128.200744416873,6.13617755961978,76354.068,,,,
2967,Cayman Islands,CYM,2000,39674.0,165.308333333333,5.5653576649695,,100.0,,,
2972,Cayman Islands,CYM,2005,46788.0,194.95,5.41277050494256,,100.0,,,3.860733
